ID   SpT     S/N SpT     S/N ri_c ri_o  Eri  err_Eri EW(Ha) fD   Eri_cs Eri_is err_Eri_is EBV_is err_EBV_is R13  err_R13 086_SFD98 RF09 Sale14
136  ""      ""  Mid-B   27  0.62 -0.08 0.70 0.05   -23     0.08 0.11   0.59   0.06       0.91   0.09       ""   ""      1.06      0.40 1.10
137  ""      ""  B8      48  0.50 -0.04 0.54 0.02   -14     0.05 0.09   0.45   0.04       0.69   0.06       ""   ""      1.23      0.58 1.23
138  ""      ""  B6      37  0.47 -0.07 0.54 0.01    -4     0.01 0.02   0.52   0.02       0.80   0.03       ""   ""      1.54      0.40 1.13
139  B5V     22  Mid-B   25  0.58 -0.08 0.66 0.02   -23     0.08 0.11   0.55   0.04       0.85   0.06       0.87 0.15    1.38      0.54 0.99
140  ""      ""  B6      38  0.48 -0.07 0.55 0.01   -14     0.05 0.08   0.47   0.03       0.72   0.05       ""   ""      0.87      0.37 0.73
141  ""      ""  Late-B  18  0.87 -0.04 0.91 0.04   -35     0.12 0.19   0.72   0.06       1.11   0.09       ""   ""      1.28      0.69 1.37
142  ""      ""  Mid-B   13  0.85 -0.08 0.93 0.05   -24     0.08 0.11   0.82   0.06       1.26   0.09       ""   ""      1.27      0.56 1.22
143  ""      ""  B5      65  0.34 -0.08 0.42 0.01   -23     0.08 0.11   0.31   0.04       0.48   0.06       ""   ""      0.88      0.33 0.77
144  ""      ""  Mid-B   42  0.68 -0.08 0.76 0.05   -26     0.09 0.12   0.64   0.06       0.98   0.09       ""   ""      1.29      0.51 1.22
145  ""      ""  Early-B 25  0.73 -0.13 0.86 0.05   -26     0.09 0.10   0.76   0.06       1.17   0.09       ""   ""      1.11      0.46 1.03
146  ""      ""  Late-B  28  0.63 -0.04 0.67 0.04    -6     0.02 0.04   0.63   0.06       0.97   0.09       ""   ""      1.81      0.74 1.46
147  ""      ""  B7      39  0.47 -0.06 0.53 0.02   -12     0.04 0.07   0.46   0.04       0.71   0.06       ""   ""      0.86      0.29 0.83
148  ""      ""  Early-B 32  0.65 -0.13 0.78 0.05   -37     0.12 0.13   0.65   0.06       1.00   0.09       ""   ""      0.88      0.34 0.93
149  ""      ""  Late-B  21  0.52 -0.04 0.56 0.04   -17     0.06 0.10   0.46   0.05       0.71   0.08       ""   ""      0.91      0.38 1.00
150  ""      ""  B4      30  0.58 -0.09 0.67 0.02   -36     0.12 0.15   0.52   0.05       0.80   0.08       ""   ""      0.97      0.46 1.10
151  ""      ""  Mid-B   22  0.59 -0.08 0.67 0.05   -35     0.12 0.16   0.51   0.07       0.78   0.11       ""   ""      0.91      0.53 0.81
152  ""      ""  Late-B  22  0.56 -0.04 0.60 0.04   -14     0.05 0.09   0.51   0.05       0.78   0.08       ""   ""      0.83      0.41 0.79
153  B4V     25  Mid-B   20  0.76 -0.09 0.84 0.02   -62     0.21 0.24   0.60   0.06       0.92   0.09       0.82 0.12    0.80      0.28 0.72
154  ""      ""  Late-B  28  0.52 -0.04 0.56 0.04   -21     0.07 0.12   0.44   0.06       0.68   0.09       ""   ""      0.55      0.32 0.69
155  ""      ""  Late-B  18  0.61 -0.04 0.65 0.04   -18     0.06 0.10   0.55   0.05       0.85   0.08       ""   ""      0.88      0.41 0.95
156  ""      ""  Late-B  35  0.40 -0.04 0.44 0.04   -13     0.04 0.07   0.37   0.05       0.57   0.08       ""   ""      0.79      0.26 0.82
157  ""      ""  Mid-B   23  0.69 -0.08 0.77 0.05   -25     0.08 0.11   0.66   0.06       1.02   0.09       ""   ""      0.97      0.25 0.87
