 ID   Name                long    lat    r       ri     rHa   J       err_J  JH     err_JH HK     err_HK  W1      err_W1   W1W2   err_W1W2 iW1    err_iW1  JW1    err_JW1 LP    FF
 93   J015510.44+632108.5 130.01   1.36  15.85   0.50   0.41  14.46   0.03   0.15   0.05   0.20   0.07    13.92   0.04    -0.03   0.06     1.42   0.04     0.54   0.04    False True 
 94   J015520.62+611752.8 130.53  -0.63  13.46   0.50   0.43  12.24   0.02   0.17   0.03   0.14   0.02    11.62   0.02     0.16   0.03     1.34   0.03     0.62   0.03    False True 
 95   J015526.12+625056.4 130.16   0.88  14.34   0.55   0.61  13.11   0.02   0.25   0.03   0.28   0.03    12.12   0.03     0.31   0.03     1.67   0.03     0.99   0.03    False True 
 96   J015601.25+633944.1 130.02   1.68  14.58   0.56   0.46  13.14   0.02   0.18   0.03   0.22   0.03    12.63   0.03     0.02   0.04     1.39   0.03     0.52   0.03    False True 
 97   J015613.26+635623.7 129.97   1.96  14.08   0.46   0.64  12.82   0.03   0.31   0.04   0.33   0.04       ""     ""       ""     ""       ""     ""       ""     ""    True  True 
 98   J015627.82+612939.2 130.61  -0.40  12.70   0.44   0.50  11.49   0.02   0.23   0.03   0.17   0.03    11.26   0.02     0.06   0.03     1.00   0.03     0.23   0.03    False True 
 99   J015630.87+630307.5 130.23   1.11  13.28   0.27   0.51  12.52   0.02   0.10   0.03   0.08   0.03    12.21   0.03     0.15   0.04     0.79   0.03     0.31   0.03    False True 
100   J015644.71+653640.6 129.61   3.59  15.01   0.54   0.40  13.70   0.02   0.14   0.03   0.11   0.04    13.39   0.03    -0.02   0.04     1.07   0.03     0.31   0.03    False True 
101   J015645.75+635259.8 130.05   1.92  13.11   0.58   0.53  11.67   0.02   0.27   0.02   0.22   0.02    10.88   0.02     0.24   0.03     1.66   0.03     0.79   0.03    False True 
102   J015741.35+605313.7 130.91  -0.95  14.76   0.71   0.51  13.06   0.02   0.31   0.03   0.17   0.03    12.32   0.03     0.12   0.04     1.72   0.03     0.74   0.03    False True 
103   J015804.46+653020.6 129.77   3.52  13.14   0.39   0.36  12.15   0.02   0.12   0.03   0.17   0.03    11.46   0.02     0.22   0.03     1.28   0.03     0.69   0.03    False True 
104   J015809.04+615813.6 130.68   0.11  14.59   0.72   0.60  12.92   0.02   0.29   0.03   0.24   0.03    12.35   0.02     0.12   0.04     1.52   0.03     0.58   0.03    False True 
105   J015918.33+654955.8 129.81   3.87  15.19   0.55   0.54  13.80   0.02   0.24   0.03   0.16   0.04    13.23   0.03     0.19   0.04     1.42   0.03     0.58   0.03    True  True 
106   J015919.69+645053.4 130.07   2.92  12.78   0.34   0.53  11.88   0.02   0.24   0.03   0.16   0.02    10.89   0.02     0.25   0.03     1.56   0.03     0.99   0.03    False True 
107   J015922.56+635829.2 130.30   2.08  15.15   0.56   0.82  13.37   0.02   0.45   0.02   0.36   0.03    12.08   0.02     0.41   0.03     2.51   0.03     1.29   0.03    True  True 
108   J015938.99+643615.4 130.17   2.69  13.26   0.39   0.53  12.10   0.02   0.27   0.03   0.22   0.03    11.43   0.02     0.28   0.03     1.45   0.03     0.67   0.03    False True 
109   J015945.33+630314.9 130.58   1.20  14.63   0.53   0.39  13.04   0.02   0.25   0.04   0.12   0.04    12.33   0.02     0.08   0.04     1.78   0.03     0.71   0.03    False True 
110   J020037.84+652133.9 130.07   3.45  13.08   0.40   0.34  12.11   0.02   0.21   0.03   0.14   0.03    11.79   0.02     0.08   0.03     0.89   0.03     0.32   0.03    False True 
111   J020049.43+635944.0 130.45   2.14  13.91   0.84   0.57  12.39   0.02   0.28   0.03   0.31   0.03    11.37   0.02     0.33   0.03     1.70   0.03     1.03   0.03    False True 
112   J020105.33+613403.0 131.12  -0.19  14.46   0.67   0.68  12.78   0.02   0.37   0.03   0.31   0.03    11.82   0.03     0.30   0.04     1.98   0.04     0.96   0.04    False True 
113   J020121.79+630117.3 130.77   1.22  13.32   0.45   0.35  12.26   0.02   0.14   0.04   0.13   0.04    12.05   0.02    -0.06   0.03     0.82   0.03     0.21   0.03    False True 
114   J020136.00+613207.6 131.19  -0.21  13.14   0.47   0.39  11.93   0.02   0.19   0.04   0.15   0.04    11.46   0.02     0.05   0.03     1.22   0.03     0.47   0.03    False True 
115   J020203.16+630213.4 130.84   1.25  13.41   0.77   0.73  11.62   0.02   0.40   0.04   0.36   0.04    10.43   0.02     0.34   0.03     2.21   0.03     1.19   0.03    False True 
116   J020252.26+620926.0 131.17   0.43  15.21   0.60   0.57  12.91   0.03   0.45   0.05   0.28   0.05    11.77   0.02     0.09   0.03     2.84   0.03     1.14   0.04    False True 
117   J020326.01+635943.1 130.72   2.22  14.40   0.54   0.49  13.00   0.03   0.22   0.04   0.22   0.04    11.98   0.02     0.22   0.03     1.88   0.03     1.02   0.03    False True 
118   J020328.03+624333.8 131.08   1.00  13.73   0.41   0.42  12.55   0.03   0.15   0.04   0.14   0.04    12.05   0.03     0.12   0.04     1.26   0.03     0.50   0.04    False True 
119   J020407.85+643122.2 130.65   2.75  13.94   0.36   0.39  12.98   0.02   0.19   0.03   0.12   0.04    12.47   0.03     0.11   0.04     1.10   0.03     0.50   0.03    False True 
120   J020504.17+630216.1 131.17   1.35  15.07   0.57   0.41  13.68   0.03   0.36   0.05   0.13   0.04    13.21   0.03     0.02   0.04     1.29   0.03     0.47   0.04    False True 
121   J020547.47+641051.7 130.92   2.47  12.68   0.40   0.41  11.80   0.02   0.17   0.03   0.12   0.03    11.52   0.02     0.08   0.03     0.76   0.03     0.28   0.03    False True 
122   J020618.67+644945.1 130.79   3.11  14.88   0.42   0.57  13.85   0.03   0.20   0.05   0.15   0.06    13.29   0.03     0.07   0.05     1.16   0.04     0.55   0.04    False True 
123   J020707.67+612422.7 131.86  -0.15  13.28   0.39   0.37  12.27   0.02   0.09   0.03   0.16   0.03    11.65   0.02     0.19   0.03     1.24   0.03     0.62   0.03    False True 
124   J020717.23+645046.2 130.88   3.15  12.57   0.35   0.54  11.63   0.02   0.18   0.04   0.16   0.04    11.00   0.02     0.24   0.03     1.22   0.03     0.63   0.03    False True 
125   J020731.12+634520.4 131.22   2.12  14.54   0.67   0.45  12.78   0.02   0.36   0.04   0.18   0.04    12.33   0.03     0.02   0.04     1.55   0.03     0.45   0.03    False True 
126   J020734.24+623601.1 131.56   1.01  14.43   0.56   0.46  12.98   0.02   0.27   0.04   0.18   0.04    12.36   0.02     0.12   0.04     1.50   0.03     0.62   0.03    True  True 
127   J020753.51+644148.9 130.99   3.03  15.91   0.33   0.34  14.89   0.04   0.19   0.07   0.08   0.12    14.36   0.03    -0.42   0.13     1.22   0.04     0.53   0.05    False True 
128   J020817.76+614220.1 131.91   0.18  13.43   0.55   0.61  11.82   0.02   0.32   0.03   0.26   0.03    10.81   0.02     0.22   0.03     2.07   0.03     1.01   0.03    False True 
129   J020826.27+625745.9 131.55   1.39  14.37   0.64   0.53  12.64   0.03   0.28   0.04   0.24   0.04    11.81   0.03     0.15   0.03     1.92   0.03     0.83   0.04    False True 
130   J020837.59+652028.2 130.87   3.67  14.74   0.53   0.54  13.34   0.02   0.25   0.04   0.17   0.04    12.59   0.03     0.18   0.04     1.62   0.03     0.75   0.03    False True 
131   J020855.24+631501.1 131.52   1.68  12.72   0.54   0.61  11.60   0.03   0.16   0.04   0.16   0.04    10.88   0.02     0.14   0.03     1.30   0.03     0.72   0.04    False True 
132   J020859.72+635536.1 131.33   2.33  14.94   0.41   0.35  13.68   0.03   0.19   0.05   0.18   0.05    13.15   0.03     0.02   0.05     1.38   0.03     0.54   0.04    False True 
133   J020917.87+613045.2 132.08   0.03  13.89   0.83   0.57  11.91   0.02   0.34   0.04   0.23   0.03    11.11   0.02     0.24   0.03     1.96   0.03     0.80   0.03    False True 
134   J021000.05+640838.5 131.37   2.57  12.81   0.35   0.35  11.84   0.02   0.17   0.03   0.13   0.03    11.28   0.02     0.10   0.03     1.19   0.03     0.56   0.03    False True 
135   J021005.63+631100.3 131.67   1.65  15.98   0.51   0.39  14.64   0.02   0.27   0.05   0.08   0.08    14.23   0.03    -0.08   0.07     1.24   0.04     0.41   0.04    False True 
136   J021011.09+652230.2 131.02   3.75  13.77   0.61   0.53  12.37   0.02   0.27   0.03   0.14   0.03    11.72   0.03     0.20   0.04     1.43   0.03     0.65   0.03    False True 
137   J021036.32+611444.0 132.31  -0.18  13.09   0.50   0.42  11.66   0.02   0.26   0.03   0.17   0.02    11.09   0.02     0.13   0.03     1.51   0.03     0.57   0.03    False True 
138   J021057.06+624700.8 131.88   1.30  14.02   0.47   0.31  12.73   0.02   0.29   0.02   0.08   0.03    12.12   0.03     0.11   0.03     1.44   0.03     0.62   0.03    False True 
139   J021121.67+624707.5 131.92   1.32  15.57   0.57   0.52  13.93   0.03   0.35   0.05   0.25   0.05       ""     ""       ""     ""       ""     ""       ""     ""    True  True 
140   J021128.86+634604.0 131.64   2.26  13.93   0.48   0.42  12.54   0.02   0.22   0.03   0.15   0.03    11.98   0.02     0.11   0.03     1.46   0.03     0.56   0.03    False True 
141   J021159.14+615639.9 132.25   0.54  15.00   0.84   0.69  12.79   0.02   0.44   0.03   0.27   0.03    11.97   0.02     0.18   0.03     2.19   0.03     0.82   0.03    False True 
142   J021202.03+613230.4 132.38   0.16  15.41   0.83   0.59  13.27   0.02   0.39   0.03   0.36   0.03    12.07   0.02     0.32   0.03     2.50   0.03     1.20   0.03    False True 
143   J021210.42+623242.3 132.09   1.12  12.20   0.34   0.45  11.33   0.02   0.13   0.03   0.17   0.03    10.72   0.02     0.17   0.03     1.14   0.03     0.61   0.03    False True 
144   J021320.12+613003.1 132.54   0.17  12.89   0.67   0.57  11.26   0.02   0.28   0.02   0.23   0.02    10.45   0.02     0.23   0.03     1.77   0.03     0.82   0.03    False True 
145   J021325.98+622043.1 132.29   0.97  14.51   0.72   0.59  12.56   0.02   0.49   0.03   0.37   0.03       ""     ""       ""     ""       ""     ""       ""     ""    False True 
